Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
ChatGPT currently unavailable,https://status.openai.com/incidents/85qjcm8c2bp2,#ef4146,impact-critical,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""On November 8th, 2024 from 4:06 PT to 4:41 PT, a large portion of ChatGPT traffic failed with 503 response codes. For most of the duration of the incident \u2013 from 4:06 PT to 4:32 PT \u2013  this affected requests from the web client, OS-specific application clients, and iOS devices. The Assistants API also experienced errors.\nThe root cause was a configuration change to the load-balancing configuration for a downstream service which ChatGPT depends on. This config change activated a latent bug in the logic to actuate the config, rapidly increasing server worker\u2019s memory usage which led to all of them crashing.\nOnce we identified the root cause, we mitigated the outage by rolling back the configuration change. By 4:32 the errors had almost completely subsided, and service was fully recovered by 4:41.\nTo keep the system safe in the short term, we have already done the following:\nLocked the configuration in question.\nAudited all places where the configuration is read.\nIn the coming weeks, we will significantly refactor our configuration delivery systems to prevent this class of outage from happening again:\nUse property testing to verify that our configuration parsing libraries perform as expected across wildly varying inputs, especially those which library authors do not foresee.\nImplement gradual rollout of configuration changes.\nCreate faster configuration rollback mechanisms.\nWe know that extended API outages affect our customers\u2019 products and business, and outages of this magnitude are particularly damaging. While we came up short here, we are committed to preventing such incidents in the future and improving our service reliability."", ""Update_Timestamp"": ""Posted 6 days ago. Nov 15, 2024 - 13:54 PST""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""This issue has now been resolved. Between 4:06pm and 4:30pm PT, ChatGPT was unavailable to all users. Access was restored to most users by 4:34, with a small number of customers still experiencing issues until 5pm."", ""Update_Timestamp"": ""Posted 13 days ago. Nov 08, 2024 - 17:47 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring results. Most users should already see access to ChatGPT restored."", ""Update_Timestamp"": ""Posted 13 days ago. Nov 08, 2024 - 17:17 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work on the fix for our issue. Thank you for your patience."", ""Update_Timestamp"": ""Posted 13 days ago. Nov 08, 2024 - 17:06 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We have identified the root cause of this issue, and are currently working to implement a fix."", ""Update_Timestamp"": ""Posted 13 days ago. Nov 08, 2024 - 16:37 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are aware of an issue which has resulted in ChatGPT being unavailable. We are currently investigating and working to restore functionality as soon as possible."", ""Update_Timestamp"": ""Posted 13 days ago. Nov 08, 2024 - 16:13 PST""}]",This incident affected: ChatGPT.
Increased errors for ChatGPT,https://status.openai.com/incidents/9rmhkx3x3wm9,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved. The issue started November 7, 2024 at 9pm PT and ended November 7, 2024 on 11pm PT."", ""Update_Timestamp"": ""Posted 14 days ago. Nov 07, 2024 - 23:40 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has now been implemented, and we're monitoring impact. Most formerly impacted users should already be seeing improved performance."", ""Update_Timestamp"": ""Posted 14 days ago. Nov 07, 2024 - 22:31 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We have identified the root cause of the issue and are working on implementing a fix"", ""Update_Timestamp"": ""Posted 14 days ago. Nov 07, 2024 - 22:22 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating an increased rate of errors for users of ChatGPT"", ""Update_Timestamp"": ""Posted 14 days ago. Nov 07, 2024 - 21:41 PST""}]",This incident affected: ChatGPT.
Workspace Analytics Unavailable,https://status.openai.com/incidents/rjbk171bq45j,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has now been resolved and all customers should be able to access the workspace analytics page. Thank you for your patience."", ""Update_Timestamp"": ""Posted 16 days ago. Nov 05, 2024 - 15:55 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We have now implemented a fix to make the workspace analytics page available again. If you are still unable to access that page, you should be able to soon."", ""Update_Timestamp"": ""Posted 16 days ago. Nov 05, 2024 - 15:18 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work on the fix for this issue and will provide additional updates as we have them."", ""Update_Timestamp"": ""Posted 17 days ago. Nov 05, 2024 - 13:34 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work on the fix for this issue and will provide additional updates as we have them."", ""Update_Timestamp"": ""Posted 17 days ago. Nov 05, 2024 - 11:54 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""Starting at 2:30pm PT on Monday, Nov 4th, the workspace analytics page has been unavailable. We have identified the root cause and are currently working on a fix. Thank you for your patience and we apologize for the inconvenience."", ""Update_Timestamp"": ""Posted 17 days ago. Nov 05, 2024 - 10:48 PST""}]",This incident affected: ChatGPT.
Latency and errors across the Intercom application,https://status.openai.com/incidents/0nbv77tlg44c,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This issue has now been resolved. OpenAI services including the API and ChatGPT were unaffected."", ""Update_Timestamp"": ""Posted 22 days ago. Oct 31, 2024 - 10:31 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""Between 2024-10-31 15:52 UTC and 2024-10-31 16:11 UTC today, some customers might have had trouble contacting OpenAI support through the help center. We are monitoring for recovery."", ""Update_Timestamp"": ""Posted 22 days ago. Oct 31, 2024 - 09:57 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating latency and errors across the Intercom application, which is impacting our Help Center functionality. Users may experience delays in responses."", ""Update_Timestamp"": ""Posted 22 days ago. Oct 31, 2024 - 09:33 PDT""}]",
Login failures for OpenAI services,https://status.openai.com/incidents/mjyr131v9k6d,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 21, 2024 - 06:21 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""Starting from 05:35AM PDT, users may have had difficulty logging in to OpenAI services. Login errors have returned to normal levels but we're continuing to monitor."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 21, 2024 - 06:01 PDT""}]","This incident affected: API, ChatGPT, Labs, and Playground."
Some customers cannot reach support services.,https://status.openai.com/incidents/yp1t8pn1gdl5,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 02:53AM and 03:34AM PDT today, some customers might have had trouble contacting OpenAI support through the help center. This issue has been resolved. OpenAI services including the API and ChatGPT were unaffected."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 21, 2024 - 03:45 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We expect the situation to be remedied shortly. There is no impact to ChatGPT or the API."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 21, 2024 - 03:28 PDT""}]",
Degraded performance for the Assistants API,https://status.openai.com/incidents/mpvly941yv58,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident is now resolved. This took place on Saturday October 19, 2024 from 12:33pm to 1:19pm Pacific time."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 19, 2024 - 13:55 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 19, 2024 - 13:19 PDT""}]",This incident affected: API.
Billing and Usage dashboard data not displaying for some users,https://status.openai.com/incidents/kfy40mxr686g,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved. The issue started October 8, 2024 at 11:00am Pacific and ended October 17, 2024 on 12:40 Pacific."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 18, 2024 - 09:39 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We have implemented a fix for a configuration error which caused this issue. That fix is live so now the billing and usage dashboard data should be displaying normally for all who should have access. We're monitoring a backfill of all related billing events to ensure the usage display since this issue started reflect correctly in customer dashboards."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 16, 2024 - 10:39 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""Users should now see data reflected in their dashboards for any new usage or billing events. We are still working on resolving the missing historical usage and billing events."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 14, 2024 - 14:14 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We are currently investigating an issue where multiple users have reported no activity appearing in their billing and usage dashboards for certain models since October 10, 2024. Affected API customers are still able to use our models without disruption. Starting from ~1 PM PT today, users should start seeing data reflected again."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 14, 2024 - 13:12 PDT""}]",This incident affected: API.
Increased latency in the API on GPT-4o mini,https://status.openai.com/incidents/7k20nsx3kkqx,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""We've implemented a fix and confirmed the elevated latency on GPT-4o mini is resolved. This started Saturday Oct 12 11pm PT and resolved on Thursday Oct 17 3am PT."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 17, 2024 - 14:40 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We believe the issue has been mitigated. We're continuing to monitor the performance of this model."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 17, 2024 - 09:28 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating increased latency on our GPT-4o mini model in the API. ChatGPT does not appear to be impacted at this time."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 16, 2024 - 14:24 PDT""}]",This incident affected: API.
Users are currently unable to upload files in ChatGPT / custom GPTs or in the API / Assistants,https://status.openai.com/incidents/9z6rj9swlc0y,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident is now resolved across all impacted services. This incident started Thursday October 17th, 2024 at 10:21pm and was mitigated at 10:45pm Pacific time."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 17, 2024 - 10:51 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results. The fix is applied to all impacted services across ChatGPT, custom GPTs, the API, and Assistants."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 17, 2024 - 10:43 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""Users are currently unable to upload files in ChatGPT / custom GPTs. API and Assistants are also impacted at this time."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 17, 2024 - 10:33 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""Users are currently unable to upload files in ChatGPT / custom GPTs. We are currently investigating this issue. API/Assistants are not impacted at this time."", ""Update_Timestamp"": ""Posted 1 month ago. Oct 17, 2024 - 10:31 PDT""}]",This incident affected: API and ChatGPT.
