incident_id,Incident_Title,incident_impact_level,Incident_color,provider,Playground,API,DALL-E,ChatGPT,api.anthropic.com,claude.ai,console.anthropic.com,Character.AI,REST API,gRPC API,Stable Assistant,investigating_flag,investigating_timestamp,investigating_description,identified_flag,identified_timestamp,identified_description,monitoring_flag,monitoring_timestamp,monitoring_description,resolved_flag,resolved_timestamp,resolved_description,postmortem_flag,postmortem_timestamp,postmortem_description,start_timestamp,close_timestamp,time_span,over_one_day,StabilityAI
svq38drg58hd,Investigating an issue,0,#333333,character,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-10 02:25:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2025-01-10 02:42:00+00:00,This incident has been resolved.,0,,,2025-01-10 02:25:00+00:00,2025-01-10 02:42:00+00:00,0 days 00:17:00,False,0.0
fwj5yn2lmbrc,Elevated errors on the API,2,#e67e22,anthropic,0,0,0,0,1,0,0,0,0,0,0,1,2025-01-09 22:47:00+00:00,We are currently investigating this issue.,1,2025-01-09 23:10:00+00:00,"We have identified an issue resulting in significantly elevated errors on requests to Haiku 3, and are working to resolve this issue.",0,,,1,2025-01-09 23:16:00+00:00,"After further investigation, we have identified that this issue did not impact user requests, and has been resolved.",0,,,2025-01-09 22:47:00+00:00,2025-01-09 23:16:00+00:00,0 days 00:29:00,False,0.0
y186j7j9ym1j,High error rates for Vision API on gpt-4o-2024-05-13 model,1,#f4ac36,openai,0,1,0,0,0,0,0,0,0,0,0,1,2025-01-08 19:46:00+00:00,We are currently experiencing degraded performance for the Vision API on gpt-4o-2024-05-13 model. We are currently investigating and will post an update as soon as possible.,0,,,1,2025-01-08 19:59:00+00:00,A fix has been implemented and we are monitoring the results,1,2025-01-08 21:05:00+00:00,Between 11:33 AM and 11:56 AM PST users were experiencing elevated error rates with Vision API for the gpt-4o-2025-05-13 model. We rolled out a fix and this issue is now resolved.,0,,,2025-01-08 19:46:00+00:00,2025-01-08 21:05:00+00:00,0 days 01:19:00,False,0.0
gd7p23cyl69q,Investigating an issue,0,#333333,character,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-07 22:31:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2025-01-07 22:39:00+00:00,This incident has been resolved.,0,,,2025-01-07 22:31:00+00:00,2025-01-07 22:39:00+00:00,0 days 00:08:00,False,0.0
v5w7b3gyzwds,Investigating an issue,0,#333333,character,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-06 21:02:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2025-01-06 21:47:00+00:00,This incident has been resolved.,0,,,2025-01-06 21:02:00+00:00,2025-01-06 21:47:00+00:00,0 days 00:45:00,False,0.0
69ykm0hpp8ht,Investigating an issue,0,#333333,character,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-06 20:40:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2025-01-06 20:45:00+00:00,This incident has been resolved.,0,,,2025-01-06 20:40:00+00:00,2025-01-06 20:45:00+00:00,0 days 00:05:00,False,0.0
nd9qv6fqc8vj,Investigating an issue,0,#333333,character,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-06 20:09:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2025-01-06 20:29:00+00:00,This incident has been resolved.,0,,,2025-01-06 20:09:00+00:00,2025-01-06 20:29:00+00:00,0 days 00:20:00,False,0.0
tls3dmzctnmh,Investigating an issue,0,#333333,character,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-06 19:52:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2025-01-06 21:50:00+00:00,This incident has been resolved.,0,,,2025-01-06 19:52:00+00:00,2025-01-06 21:50:00+00:00,0 days 01:58:00,False,0.0
f45bzqgd2qtd,Investigating an issue,0,#333333,character,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-06 19:46:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2025-01-06 21:50:00+00:00,This incident has been resolved.,0,,,2025-01-06 19:46:00+00:00,2025-01-06 21:50:00+00:00,0 days 02:04:00,False,0.0
h5vf03fj3b7f,Investigating an issue,0,#333333,character,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-06 19:44:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2025-01-06 21:50:00+00:00,This incident has been resolved.,0,,,2025-01-06 19:44:00+00:00,2025-01-06 21:50:00+00:00,0 days 02:06:00,False,0.0
