incident_id,Incident_Title,incident_impact_level,Incident_color,provider,Playground,API,DALL-E,ChatGPT,api.anthropic.com,claude.ai,console.anthropic.com,Character.AI,investigating_flag,investigating_timestamp,investigating_description,identified_flag,identified_timestamp,identified_description,monitoring_flag,monitoring_timestamp,monitoring_description,resolved_flag,resolved_timestamp,resolved_description,postmortem_flag,postmortem_timestamp,postmortem_description,start_timestamp,close_timestamp,time_span,over_one_day
tv0rmmrmbpkg,File upload failing for ChatGPT users,2,#e86c09,openai,0,0,0,1,0,0,0,0,1,2024-11-28 05:39:00+00:00,We are currently investigating an elevated file upload errors affecting ChatGPT users,1,2024-11-28 06:06:00+00:00,The issue has been identified and a fix is being implemented.,1,2024-11-28 06:17:00+00:00,A fix has been implemented and we are monitoring the results.,1,2024-11-28 07:15:00+00:00,This incident has been resolved.,0,,,2024-11-28 05:39:00+00:00,2024-11-28 07:15:00+00:00,0 days 01:36:00,False
h3tgpk4g1h4c,Elevated Errors in API,1,#f4ac36,openai,0,0,0,0,0,0,0,0,0,,,0,,,0,,,1,2024-11-26 19:30:00+00:00,We experienced a brief period of elevated errors for API requests between approximately 10:45 AM - 11:15 AM PT.,0,,,2024-11-26 19:30:00+00:00,2024-11-26 19:30:00+00:00,0 days 00:00:00,False
3pn6gclf1cjx,Elevated Error Rate for ChatGPT and API,1,#f4ac36,openai,0,1,0,1,0,0,0,0,1,2024-11-25 19:03:00+00:00,We are currently experiencing elevated error rates for ChatGPT. We are currently investigating.,1,2024-11-25 19:11:00+00:00,"We have identified the root cause of this issue, and are currently working to implement a fix.",1,2024-11-25 23:03:00+00:00,"We have implemented a fix for all API models with the exception of 'gpt-4-1106-preview', which we are continuing to work on. We are continuing to monitor performance for across all APIs as well as ChatGPT, and will post an update as soon as able.",1,2024-11-26 00:15:00+00:00,"This issue has now been resolved.
Starting at 10:20am PT, customers experienced elevated errors on ChatGPT and API.
ChatGPT was mostly recovered by 11:55am PT, with some free plan customers continuing to experience issues until 1:20pm PT.
API performance was recovered for most customers by 1:30pm PT, with a smaller number of customers continuing to experience issues until 3:45pm PT.",0,,,2024-11-25 19:03:00+00:00,2024-11-26 00:15:00+00:00,0 days 05:12:00,False
85qjcm8c2bp2,ChatGPT currently unavailable,3,#ef4146,openai,0,0,0,1,0,0,0,0,1,2024-11-09 00:13:00+00:00,We are aware of an issue which has resulted in ChatGPT being unavailable. We are currently investigating and working to restore functionality as soon as possible.,1,2024-11-09 00:37:00+00:00,"We have identified the root cause of this issue, and are currently working to implement a fix.",1,2024-11-09 01:17:00+00:00,A fix has been implemented and we are monitoring results. Most users should already see access to ChatGPT restored.,1,2024-11-09 01:47:00+00:00,"This issue has now been resolved. Between 4:06pm and 4:30pm PT, ChatGPT was unavailable to all users. Access was restored to most users by 4:34, with a small number of customers still experiencing issues until 5pm.",1,2024-11-15 21:54:00+00:00,"On November 8th, 2024 from 4:06 PT to 4:41 PT, a large portion of ChatGPT traffic failed with 503 response codes. For most of the duration of the incident – from 4:06 PT to 4:32 PT –  this affected requests from the web client, OS-specific application clients, and iOS devices. The Assistants API also experienced errors.
The root cause was a configuration change to the load-balancing configuration for a downstream service which ChatGPT depends on. This config change activated a latent bug in the logic to actuate the config, rapidly increasing server worker’s memory usage which led to all of them crashing.
Once we identified the root cause, we mitigated the outage by rolling back the configuration change. By 4:32 the errors had almost completely subsided, and service was fully recovered by 4:41.
To keep the system safe in the short term, we have already done the following:
Locked the configuration in question.
Audited all places where the configuration is read.
In the coming weeks, we will significantly refactor our configuration delivery systems to prevent this class of outage from happening again:
Use property testing to verify that our configuration parsing libraries perform as expected across wildly varying inputs, especially those which library authors do not foresee.
Implement gradual rollout of configuration changes.
Create faster configuration rollback mechanisms.
We know that extended API outages affect our customers’ products and business, and outages of this magnitude are particularly damaging. While we came up short here, we are committed to preventing such incidents in the future and improving our service reliability.",2024-11-09 00:13:00+00:00,2024-11-09 01:47:00+00:00,0 days 01:34:00,False
9rmhkx3x3wm9,Increased errors for ChatGPT,2,#e86c09,openai,0,0,0,1,0,0,0,0,1,2024-11-08 05:41:00+00:00,We are currently investigating an increased rate of errors for users of ChatGPT,1,2024-11-08 06:22:00+00:00,We have identified the root cause of the issue and are working on implementing a fix,1,2024-11-08 06:31:00+00:00,"A fix has now been implemented, and we're monitoring impact. Most formerly impacted users should already be seeing improved performance.",1,2024-11-08 07:40:00+00:00,"This incident has been resolved. The issue started November 7, 2024 at 9pm PT and ended November 7, 2024 on 11pm PT.",0,,,2024-11-08 05:41:00+00:00,2024-11-08 07:40:00+00:00,0 days 01:59:00,False
rjbk171bq45j,Workspace Analytics Unavailable,1,#f4ac36,openai,0,0,0,1,0,0,0,0,0,,,1,2024-11-05 18:48:00+00:00,"Starting at 2:30pm PT on Monday, Nov 4th, the workspace analytics page has been unavailable. We have identified the root cause and are currently working on a fix. Thank you for your patience and we apologize for the inconvenience.",1,2024-11-05 23:18:00+00:00,"We have now implemented a fix to make the workspace analytics page available again. If you are still unable to access that page, you should be able to soon.",1,2024-11-05 23:55:00+00:00,This incident has now been resolved and all customers should be able to access the workspace analytics page. Thank you for your patience.,0,,,2024-11-05 18:48:00+00:00,2024-11-05 23:55:00+00:00,0 days 05:07:00,False
0nbv77tlg44c,Latency and errors across the Intercom application,0,#050505,openai,0,0,0,0,0,0,0,0,1,2024-10-31 16:33:00+00:00,"We are currently investigating latency and errors across the Intercom application, which is impacting our Help Center functionality. Users may experience delays in responses.",0,,,1,2024-10-31 16:57:00+00:00,"Between 2024-10-31 15:52 UTC and 2024-10-31 16:11 UTC today, some customers might have had trouble contacting OpenAI support through the help center. We are monitoring for recovery.",1,2024-10-31 17:31:00+00:00,This issue has now been resolved. OpenAI services including the API and ChatGPT were unaffected.,0,,,2024-10-31 16:33:00+00:00,2024-10-31 17:31:00+00:00,0 days 00:58:00,False
mjyr131v9k6d,Login failures for OpenAI services,0,#050505,openai,1,1,1,1,0,0,0,0,0,,,0,,,1,2024-10-21 13:01:00+00:00,"Starting from 05:35AM PDT, users may have had difficulty logging in to OpenAI services. Login errors have returned to normal levels but we're continuing to monitor.",1,2024-10-21 13:21:00+00:00,This incident has been resolved.,0,,,2024-10-21 13:01:00+00:00,2024-10-21 13:21:00+00:00,0 days 00:20:00,False
yp1t8pn1gdl5,Some customers cannot reach support services.,0,#050505,openai,0,0,0,0,0,0,0,0,0,,,1,2024-10-21 10:28:00+00:00,We expect the situation to be remedied shortly. There is no impact to ChatGPT or the API.,0,,,1,2024-10-21 10:45:00+00:00,"Between 02:53AM and 03:34AM PDT today, some customers might have had trouble contacting OpenAI support through the help center. This issue has been resolved. OpenAI services including the API and ChatGPT were unaffected.",0,,,2024-10-21 10:28:00+00:00,2024-10-21 10:45:00+00:00,0 days 00:17:00,False
mpvly941yv58,Degraded performance for the Assistants API,1,#f4ac36,openai,0,1,0,0,0,0,0,0,1,2024-10-19 20:19:00+00:00,We are currently investigating this issue.,0,,,0,,,1,2024-10-19 20:55:00+00:00,"This incident is now resolved. This took place on Saturday October 19, 2024 from 12:33pm to 1:19pm Pacific time.",0,,,2024-10-19 20:19:00+00:00,2024-10-19 20:55:00+00:00,0 days 00:36:00,False
